statement national reference no: 924566, date: 30.06.2017, salesperiode: 01.06.2017-30.06.2017

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/domestic net(aver.);amount returns domestic;f.o.c dom.;total amount
CD 06252;4250137262529;Various Artists;Melodica Compilation #1 ;The Question;Apple Music;US;3;0,007;0,006;0,018
CD 06252;4250137262529;Myrra Ros;Melodica Compilation #1 ;Morse Codes;Deezer;FR;3;0,008;0,006;0,019
CD 06252;4250137262529;Astrids Farm;Melodica Compilation #1 ;Full Metal Jacket;Google Subscription;CO;1;0,004;0,003;0,003
CD 06252;4250137262529;Shisha PM;Melodica Compilation #1 ;Ups And Downs;TDC Play;DK;1;0,008;0,006;0,006
CD 06252;4250137262529;Ian Hooper;Melodica Compilation #1 ;Come My Way;Deezer;DE;1;0,004;0,003;0,003
CD 06252;4250137262529;Svavar Knutur;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Google Subscription;CZ;3;0,005;0,004;0,012
CD 06252;4250137262529;Ian Hooper;Melodica Compilation #1 ;Come My Way;Google Subscription;CH;1;0,009;0,007;0,007
CD 06252;4250137262529;Various Artists;Melodica Compilation #1 ;The Question;Apple Music;IT;1;0,013;0,010;0,010
CD 06252;4250137262529;Myrra Ros;Melodica Compilation #1 ;Morse Codes;Apple Music;US;1;0,007;0,005;0,005
CD 06252;4250137262529;Various Artists;Melodica Compilation #1 ;The Question;Google Subscription;CZ;5;0,005;0,004;0,019
CD 06252;4250137262529;Owls Of The Swamp;Melodica Compilation #1 ;Heart Of The Mountain;Deezer;DE;1;0,001;0,001;0,001
CD 06252;4250137262529;Athebustop;Melodica Compilation #1 ;How Does It Feel;Deezer;DE;1;0,001;0,001;0,001
CD 06252;4250137262529;Svavar Knutur;Melodica Compilation #1 ;Yfir Hola Og Yfir Haedir;Apple Music;US;1;0,007;0,005;0,005
CD 06253;4250137262536;Dear John Letter;Part And Fragment;You Remain Unshakeably Calm;Deezer;DE;3;0,005;0,004;0,013
CD 06253;4250137262536;Dear John Letter;Part And Fragment;House Of Leaves;Spotify;NO;1;0,001;0,000;0,000
CD 06253;4250137262536;Dear John Letter;Part And Fragment;The Looking Glass;Apple Music;DE;1;0,009;0,007;0,007
CD 06253;4250137262536;Dear John Letter;Part And Fragment;Of Grandeur;Deezer;DE;1;0,005;0,004;0,004
CD 06253;4250137262536;Dear John Letter;Part And Fragment;The Looking Glass;Spotify;DE;2;0,005;0,004;0,008
CD 06253;4250137262536;Dear John Letter;Part And Fragment;Silent Sirens;Deezer;DE;1;0,005;0,004;0,004
CD 06253;4250137262536;Dear John Letter;Part And Fragment;Crux;Spotify;DE;2;0,003;0,003;0,005
CD 06253;4250137262536;Dear John Letter;Part And Fragment;The Silver Ring Of The Bell;Spotify;DE;1;0,005;0,004;0,004
CD 06253;4250137262536;Dear John Letter;Part And Fragment;That¦s The Way The Cookie Crumbles;Deezer;DE;1;0,005;0,004;0,004
CD 06253;4250137262536;Dear John Letter;Part And Fragment;You Can¦t Hear Yourself Think;Spotify;DE;1;0,005;0,004;0,004
CD 06253;4250137262536;Dear John Letter;Part And Fragment;House Of Leaves;Spotify;DE;1;0,005;0,004;0,004
CD 06253;4250137262536;Dear John Letter;Part And Fragment;That¦s The Way The Cookie Crumbles;Spotify;US;2;0,001;0,001;0,002
CD 06253;4250137262536;Dear John Letter;Part And Fragment;You Remain Unshakeably Calm;Spotify;DE;4;0,004;0,003;0,014
CD 06253;4250137262536;Dear John Letter;Part And Fragment;Kandi;Spotify;DE;1;0,005;0,004;0,004
