statement national reference no: 924783, date: 31.07.2017, salesperiode: 01.07.2017-31.07.2017

article no;artist / title;stock begin / end;arrivals dispatch;domestic qty/dealer/net(aver.);amount domestic;export qty;returns domestic qty/dealer/domestic net(aver.);amount returns domestic;f.o.c dom.;total amount
CD 06263;4250137262635;Owls Of The Swamp;Melodica Compilation #2;Water Song (feat, ITC);Spotify;US;2;0,005;0,004;0,008
CD 06263;4250137262635;L,F, Singer;Melodica Compilation #2;Last Dropout of Beauty School;TIDAL;CH;1;0,019;0,015;0,015
CD 06263;4250137262635;Phia;Melodica Compilation #2;Jennifer;Spotify;US;3;0,003;0,003;0,008
CD 06263;4250137262635;Lâˆ™isa;Melodica Compilation #2;Springrainair;Spotify;NL;3;0,003;0,002;0,007
CD 06263;4250137262635;Town Of Saints;Melodica Compilation #2;Start Something;Spotify;FI;1;0,002;0,002;0,002
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Apple Music;IL;1;0,007;0,005;0,005
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Deezer;SE;7;0,002;0,001;0,009
CD 06263;4250137262635;Halla Norâ‰¡fjörâ‰¡;Melodica Compilation #2;Maybe;Apple Music;CH;1;0,002;0,002;0,002
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Spotify;FI;2;0,005;0,004;0,009
CD 06263;4250137262635;Halla Norâ‰¡fjörâ‰¡;Melodica Compilation #2;Maybe;Spotify;FI;2;0,002;0,002;0,003
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Spotify;SK;5;0,003;0,002;0,012
CD 06263;4250137262635;Hello Piedpiper;Melodica Compilation #2;The Poet;Deezer;DE;2;0,003;0,003;0,005
CD 06263;4250137262635;Mijo Biscan;Melodica Compilation #2;Trapped Fox (Live at Melodica Berlin 2010);Spotify;BR;1;0,002;0,001;0,001
CD 06263;4250137262635;Mijo Biscan;Melodica Compilation #2;Trapped Fox (Live at Melodica Berlin 2010);TIDAL;CH;1;0,019;0,015;0,015
CD 06263;4250137262635;Il Tempo Gigante;Melodica Compilation #2;Lost Something Good;Rhapsody / Napster;DE;4;0,008;0,006;0,024
CD 06263;4250137262635;Njord;Melodica Compilation #2;Seldom Seen Sister;Spotify;IT;1;0,005;0,004;0,004
CD 06263;4250137262635;Il Tempo Gigante;Melodica Compilation #2;Lost Something Good;Spotify;SE;1;0,000;0,000;0,000
CD 06263;4250137262635;Our Blanket Skies;Melodica Compilation #2;Black-Eyed Angel;Spotify;CH;1;0,004;0,003;0,003
CD 06263;4250137262635;Jona Byron;Melodica Compilation #2;Dead Horse;Spotify;DE;39;0,003;0,002;0,084
CD 06263;4250137262635;Owls Of The Swamp;Melodica Compilation #2;Water Song (feat, ITC);Spotify;AR;1;0,003;0,002;0,002
CD 06263;4250137262635;L,F, Singer;Melodica Compilation #2;Last Dropout of Beauty School;Spotify;AR;1;0,003;0,002;0,002
CD 06263;4250137262635;Phia;Melodica Compilation #2;Jennifer;Rhapsody / Napster;DE;2;0,008;0,006;0,012
CD 06263;4250137262635;Lâˆ™isa;Melodica Compilation #2;Springrainair;Spotify;AT;1;0,000;0,000;0,000
CD 06263;4250137262635;Town Of Saints;Melodica Compilation #2;Start Something;Rhapsody / Napster;DE;3;0,008;0,006;0,018
CD 06263;4250137262635;Mighty Oaks;Melodica Compilation #2;When I Dream I See;Apple Music;AT;8;0,009;0,007;0,058
CD 06263;4250137262635;Town Of Saints;Melodica Compilation #2;Start Something;TIDAL;NO;1;0,014;0,012;0,012
